run,type,module,name,attrname,attrvalue,value
General-16-20240428-16:41:48-11318,config,,,num-rngs,10,
General-16-20240428-16:41:48-11318,config,,,**.use_random_strategy,false,
General-17-20240428-16:41:49-11318,runattr,,,configname,General,
General-17-20240428-16:41:49-11318,runattr,,,datetime,20240428-16:41:49,
General-17-20240428-16:41:49-11318,runattr,,,datetimef,20240428-164149,
General-17-20240428-16:41:49-11318,runattr,,,experiment,General,
General-17-20240428-16:41:49-11318,runattr,,,inifile,omnetpp.ini,
General-17-20240428-16:41:49-11318,runattr,,,iterationvars,$0=false,
General-17-20240428-16:41:49-11318,runattr,,,iterationvarsd,false,
General-17-20240428-16:41:49-11318,runattr,,,iterationvarsf,false-,
General-17-20240428-16:41:49-11318,runattr,,,measurement,$0=false,
General-17-20240428-16:41:49-11318,runattr,,,network,Supermarket,
General-17-20240428-16:41:49-11318,runattr,,,processid,11318,
General-17-20240428-16:41:49-11318,runattr,,,repetition,7,
General-17-20240428-16:41:49-11318,runattr,,,replication,#7,
General-17-20240428-16:41:49-11318,runattr,,,resultdir,results,
General-17-20240428-16:41:49-11318,runattr,,,runnumber,17,
General-17-20240428-16:41:49-11318,runattr,,,seedset,7,
General-17-20240428-16:41:49-11318,config,,,network,Supermarket,
General-17-20240428-16:41:49-11318,config,,,repeat,10,
General-17-20240428-16:41:49-11318,config,,,seed-set,7,
General-17-20240428-16:41:49-11318,config,,,num-rngs,10,
General-17-20240428-16:41:49-11318,config,,,**.use_random_strategy,false,
General-18-20240428-16:41:49-11318,runattr,,,configname,General,
General-18-20240428-16:41:49-11318,runattr,,,datetime,20240428-16:41:49,
General-18-20240428-16:41:49-11318,runattr,,,datetimef,20240428-164149,
General-18-20240428-16:41:49-11318,runattr,,,experiment,General,
General-18-20240428-16:41:49-11318,runattr,,,inifile,omnetpp.ini,
General-18-20240428-16:41:49-11318,runattr,,,iterationvars,$0=false,
General-18-20240428-16:41:49-11318,runattr,,,iterationvarsd,false,
General-18-20240428-16:41:49-11318,runattr,,,iterationvarsf,false-,
General-18-20240428-16:41:49-11318,runattr,,,measurement,$0=false,
General-18-20240428-16:41:49-11318,runattr,,,network,Supermarket,
General-18-20240428-16:41:49-11318,runattr,,,processid,11318,
General-18-20240428-16:41:49-11318,runattr,,,repetition,8,
General-18-20240428-16:41:49-11318,runattr,,,replication,#8,
General-18-20240428-16:41:49-11318,runattr,,,resultdir,results,
General-18-20240428-16:41:49-11318,runattr,,,runnumber,18,
General-18-20240428-16:41:49-11318,runattr,,,seedset,8,
General-18-20240428-16:41:49-11318,config,,,network,Supermarket,
General-18-20240428-16:41:49-11318,config,,,repeat,10,
General-18-20240428-16:41:49-11318,config,,,seed-set,8,
General-18-20240428-16:41:49-11318,config,,,num-rngs,10,
General-18-20240428-16:41:49-11318,config,,,**.use_random_strategy,false,
General-19-20240428-16:41:49-11318,runattr,,,configname,General,
General-19-20240428-16:41:49-11318,runattr,,,datetime,20240428-16:41:49,
General-19-20240428-16:41:49-11318,runattr,,,datetimef,20240428-164149,
General-19-20240428-16:41:49-11318,runattr,,,experiment,General,
General-19-20240428-16:41:49-11318,runattr,,,inifile,omnetpp.ini,
General-19-20240428-16:41:49-11318,runattr,,,iterationvars,$0=false,
General-19-20240428-16:41:49-11318,runattr,,,iterationvarsd,false,
General-19-20240428-16:41:49-11318,runattr,,,iterationvarsf,false-,
General-19-20240428-16:41:49-11318,runattr,,,measurement,$0=false,
General-19-20240428-16:41:49-11318,runattr,,,network,Supermarket,
General-19-20240428-16:41:49-11318,runattr,,,processid,11318,
General-19-20240428-16:41:49-11318,runattr,,,repetition,9,
General-19-20240428-16:41:49-11318,runattr,,,replication,#9,
General-19-20240428-16:41:49-11318,runattr,,,resultdir,results,
General-19-20240428-16:41:49-11318,runattr,,,runnumber,19,
General-19-20240428-16:41:49-11318,runattr,,,seedset,9,
General-19-20240428-16:41:49-11318,config,,,network,Supermarket,
General-19-20240428-16:41:49-11318,config,,,repeat,10,
General-19-20240428-16:41:49-11318,config,,,seed-set,9,
General-19-20240428-16:41:49-11318,config,,,num-rngs,10,
General-19-20240428-16:41:49-11318,config,,,**.use_random_strategy,false,
General-0-20240428-16:41:48-11296,runattr,,,configname,General,
General-0-20240428-16:41:48-11296,runattr,,,datetime,20240428-16:41:48,
General-0-20240428-16:41:48-11296,runattr,,,datetimef,20240428-164148,
General-0-20240428-16:41:48-11296,runattr,,,experiment,General,
General-0-20240428-16:41:48-11296,runattr,,,inifile,omnetpp.ini,
General-0-20240428-16:41:48-11296,runattr,,,iterationvars,$0=true,
General-0-20240428-16:41:48-11296,runattr,,,iterationvarsd,true,
General-0-20240428-16:41:48-11296,runattr,,,iterationvarsf,true-,
General-0-20240428-16:41:48-11296,runattr,,,measurement,$0=true,
General-0-20240428-16:41:48-11296,runattr,,,network,Supermarket,
General-0-20240428-16:41:48-11296,runattr,,,processid,11296,
General-0-20240428-16:41:48-11296,runattr,,,repetition,0,
General-0-20240428-16:41:48-11296,runattr,,,replication,#0,
General-0-20240428-16:41:48-11296,runattr,,,resultdir,results,
General-0-20240428-16:41:48-11296,runattr,,,runnumber,0,
General-0-20240428-16:41:48-11296,runattr,,,seedset,0,
General-0-20240428-16:41:48-11296,config,,,network,Supermarket,
General-0-20240428-16:41:48-11296,config,,,repeat,10,
General-0-20240428-16:41:48-11296,config,,,seed-set,0,
General-0-20240428-16:41:48-11296,config,,,num-rngs,10,
General-0-20240428-16:41:48-11296,config,,,**.use_random_strategy,true,
General-1-20240428-16:41:48-11296,runattr,,,configname,General,
General-1-20240428-16:41:48-11296,runattr,,,datetime,20240428-16:41:48,
General-1-20240428-16:41:48-11296,runattr,,,datetimef,20240428-164148,
General-1-20240428-16:41:48-11296,runattr,,,experiment,General,
General-1-20240428-16:41:48-11296,runattr,,,inifile,omnetpp.ini,
General-1-20240428-16:41:48-11296,runattr,,,iterationvars,$0=true,
General-1-20240428-16:41:48-11296,runattr,,,iterationvarsd,true,
General-1-20240428-16:41:48-11296,runattr,,,iterationvarsf,true-,
General-1-20240428-16:41:48-11296,runattr,,,measurement,$0=true,
General-1-20240428-16:41:48-11296,runattr,,,network,Supermarket,
General-1-20240428-16:41:48-11296,runattr,,,processid,11296,
General-1-20240428-16:41:48-11296,runattr,,,repetition,1,
General-1-20240428-16:41:48-11296,runattr,,,replication,#1,
General-1-20240428-16:41:48-11296,runattr,,,resultdir,results,
General-1-20240428-16:41:48-11296,runattr,,,runnumber,1,
General-1-20240428-16:41:48-11296,runattr,,,seedset,1,
General-1-20240428-16:41:48-11296,config,,,network,Supermarket,
General-1-20240428-16:41:48-11296,config,,,repeat,10,
General-1-20240428-16:41:48-11296,config,,,seed-set,1,
General-1-20240428-16:41:48-11296,config,,,num-rngs,10,
General-1-20240428-16:41:48-11296,config,,,**.use_random_strategy,true,
General-2-20240428-16:41:48-11296,runattr,,,configname,General,
General-2-20240428-16:41:48-11296,runattr,,,datetime,20240428-16:41:48,
General-2-20240428-16:41:48-11296,runattr,,,datetimef,20240428-164148,
General-2-20240428-16:41:48-11296,runattr,,,experiment,General,
General-2-20240428-16:41:48-11296,runattr,,,inifile,omnetpp.ini,
General-2-20240428-16:41:48-11296,runattr,,,iterationvars,$0=true,
General-2-20240428-16:41:48-11296,runattr,,,iterationvarsd,true,
General-2-20240428-16:41:48-11296,runattr,,,iterationvarsf,true-,
General-2-20240428-16:41:48-11296,runattr,,,measurement,$0=true,
General-2-20240428-16:41:48-11296,runattr,,,network,Supermarket,
General-2-20240428-16:41:48-11296,runattr,,,processid,11296,
General-2-20240428-16:41:48-11296,runattr,,,repetition,2,
General-2-20240428-16:41:48-11296,runattr,,,replication,#2,
General-2-20240428-16:41:48-11296,runattr,,,resultdir,results,
General-2-20240428-16:41:48-11296,runattr,,,runnumber,2,
General-2-20240428-16:41:48-11296,runattr,,,seedset,2,
General-2-20240428-16:41:48-11296,config,,,network,Supermarket,
General-2-20240428-16:41:48-11296,config,,,repeat,10,
General-2-20240428-16:41:48-11296,config,,,seed-set,2,
General-2-20240428-16:41:48-11296,config,,,num-rngs,10,
General-2-20240428-16:41:48-11296,config,,,**.use_random_strategy,true,
General-3-20240428-16:41:49-11296,runattr,,,configname,General,
General-3-20240428-16:41:49-11296,runattr,,,datetime,20240428-16:41:49,
General-3-20240428-16:41:49-11296,runattr,,,datetimef,20240428-164149,
General-3-20240428-16:41:49-11296,runattr,,,experiment,General,
General-3-20240428-16:41:49-11296,runattr,,,inifile,omnetpp.ini,
General-3-20240428-16:41:49-11296,runattr,,,iterationvars,$0=true,
General-3-20240428-16:41:49-11296,runattr,,,iterationvarsd,true,
General-3-20240428-16:41:49-11296,runattr,,,iterationvarsf,true-,
General-3-20240428-16:41:49-11296,runattr,,,measurement,$0=true,
General-3-20240428-16:41:49-11296,runattr,,,network,Supermarket,
General-3-20240428-16:41:49-11296,runattr,,,processid,11296,
General-3-20240428-16:41:49-11296,runattr,,,repetition,3,
General-3-20240428-16:41:49-11296,runattr,,,replication,#3,
General-3-20240428-16:41:49-11296,runattr,,,resultdir,results,
General-3-20240428-16:41:49-11296,runattr,,,runnumber,3,
General-3-20240428-16:41:49-11296,runattr,,,seedset,3,
General-3-20240428-16:41:49-11296,config,,,network,Supermarket,
General-3-20240428-16:41:49-11296,config,,,repeat,10,
General-3-20240428-16:41:49-11296,config,,,seed-set,3,
General-3-20240428-16:41:49-11296,config,,,num-rngs,10,
General-3-20240428-16:41:49-11296,config,,,**.use_random_strategy,true,
General-4-20240428-16:41:48-11295,runattr,,,configname,General,
General-4-20240428-16:41:48-11295,runattr,,,datetime,20240428-16:41:48,
General-4-20240428-16:41:48-11295,runattr,,,datetimef,20240428-164148,
General-4-20240428-16:41:48-11295,runattr,,,experiment,General,
General-4-20240428-16:41:48-11295,runattr,,,inifile,omnetpp.ini,
General-4-20240428-16:41:48-11295,runattr,,,iterationvars,$0=true,
General-4-20240428-16:41:48-11295,runattr,,,iterationvarsd,true,
General-4-20240428-16:41:48-11295,runattr,,,iterationvarsf,true-,
General-4-20240428-16:41:48-11295,runattr,,,measurement,$0=true,
General-4-20240428-16:41:48-11295,runattr,,,network,Supermarket,
General-4-20240428-16:41:48-11295,runattr,,,processid,11295,
General-4-20240428-16:41:48-11295,runattr,,,repetition,4,
General-4-20240428-16:41:48-11295,runattr,,,replication,#4,
General-4-20240428-16:41:48-11295,runattr,,,resultdir,results,
General-4-20240428-16:41:48-11295,runattr,,,runnumber,4,
General-4-20240428-16:41:48-11295,runattr,,,seedset,4,
General-4-20240428-16:41:48-11295,config,,,network,Supermarket,
General-4-20240428-16:41:48-11295,config,,,repeat,10,
General-4-20240428-16:41:48-11295,config,,,seed-set,4,
General-4-20240428-16:41:48-11295,config,,,num-rngs,10,
General-4-20240428-16:41:48-11295,config,,,**.use_random_strategy,true,
General-5-20240428-16:41:48-11295,runattr,,,configname,General,
General-5-20240428-16:41:48-11295,runattr,,,datetime,20240428-16:41:48,
General-5-20240428-16:41:48-11295,runattr,,,datetimef,20240428-164148,
General-5-20240428-16:41:48-11295,runattr,,,experiment,General,
General-5-20240428-16:41:48-11295,runattr,,,inifile,omnetpp.ini,
